央视高清,#genre#
浙江卫视4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229473/136086103.smil
东方卫视4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229460/136083232.smil
湖南卫视4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229464/136083240.smil
江苏卫视4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229468/136083267.smil
四川卫视4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229470/136083195.smil
山东卫视4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229467/136083251.smil

卫视高清,#genre#
浙江卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228012/10000100000000060000000000794032_0.smil
深圳卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221227988/10000100000000060000000000794038_0.smil
广东卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228011/10000100000000060000000000794034_0.smil
湖南卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221227983/10000100000000060000000000794037_0.smil
天津卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil
山东卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221227978/10000100000000060000000000794036_0.smil
江苏卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228067/10000100000000060000000001063212_0.smil
北京卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228080/10000100000000060000000001063209_0.smil
纪实科教高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229419/110036300.smil
四川卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229046/10000100000000060000000004835838_0.smil
河北卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229050/10000100000000060000000004836297_0.smil
辽宁卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229042/10000100000000060000000004835836_0.smil
贵州卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229044/10000100000000060000000004835835_0.smil
重庆卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil
河南卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil
江西卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil
东南卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil
安徽卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil
湖北卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil
黑龙江卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil
东方卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221228140/10000100000000060000000002670196_0.smil
西藏卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229457/134307492.smil
兵团卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229461/134307530.smil
宁夏卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229462/134307486.smil
新疆卫视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229459/134307257.smil
凤凰中文高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229422/110077577.smil
凤凰资讯高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229423/110077527.smil
卡酷少儿高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229420/110036417.smil

卫视标清,#genre#
浙江卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227817/10000100000000060000000000304248_0.smil
深圳卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227772/10000100000000060000000000304160_0.smil
广东卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227821/10000100000000060000000000304214_0.smil
湖南卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227791/10000100000000060000000000304141_0.smil
天津卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227805/10000100000000060000000000304190_0.smil
山东卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227820/10000100000000060000000000304230_0.smil
江苏卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227797/10000100000000060000000000304232_0.smil
北京卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227813/10000100000000060000000000304237_0.smil
四川卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227822/10000100000000060000000000304252_0.smil
河北卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227812/10000100000000060000000000304244_0.smil
辽宁卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227841/10000100000000060000000000304251_0.smil
贵州卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227828/10000100000000060000000000304253_0.smil
